Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
OD15,Sundar,,Chicken,Kanyakumari,,Central,831.0,0.22,207.75,Tamil Nadu
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,11/22/2016,Central,1440.0,0.11,100.8,
OD17,Alan,Bakery,Cakes,Dharmapuri,11-11-2015,Central,1678.0,0.28,318.82,
OD22,Alan,Food Grains,Dals & Pulses,Karur,,Central,948.0,0.13,47.4,Tamil Nadu
,Haseena,,,Krishnagiri,12-09-2017,Central,,,148.47,Tamil Nadu
OD36,Sabeela,,Eggs,Tirunelveli,12-08-2017,Central,1265.0,0.22,569.25,Tamil Nadu
OD38,Willams,Fruits & Veggies,,Ramanadhapuram,12/27/2016,Central,1354.0,0.16,446.82,Tamil Nadu
OD40,,"Eggs, Meat & Fish",Chicken,,12/27/2016,Central,2045.0,0.23,879.35,Tamil Nadu
OD42,Arutra,,Soft Drinks,Salem,09-10-2018,Central,1868.0,0.18,616.44,Tamil Nadu
OD46,Vince,"Eggs, Meat & Fish",Eggs,Madurai,03-11-2017,Central,,,,Tamil Nadu
OD50,Amrish,Bakery,Cakes,Ooty,4/18/2016,Central,1259.0,0.15,415.47,Tamil Nadu
OD51,Esther,Beverages,Soft Drinks,Salem,4/18/2016,Central,902.0,0.29,153.34,
OD52,Shah,,Soft Drinks,Salem,,Central,2306.0,0.3,553.44,Tamil Nadu
OD67,Vinne,Food Grains,Atta & Flour,,4/30/2016,Central,1368.0,,,Tamil Nadu
,Veronica,Beverages,Soft Drinks,,12-09-2018,Central,1489.0,0.12,193.57,
OD79,,Snacks,,Vellore,11/26/2015,Central,719.0,0.2,,Tamil Nadu
OD85,Amy,Fruits & Veggies,Organic Fruits,Bodi,11/13/2018,Central,1044.0,0.1,344.52,Tamil Nadu
OD87,Sharon,Food Grains,Rice,Theni,10/26/2018,Central,1759.0,0.1,615.65,
OD88,,"Eggs, Meat & Fish",Eggs,Viluppuram,,Central,1663.0,0.26,665.2,
OD89,Sheeba,,Breads & Buns,Perambalur,04-05-2017,Central,2111.0,0.21,189.99,Tamil Nadu
OD93,Ravi,Food Grains,Atta & Flour,Madurai,1/31/2016,Central,2128.0,0.14,383.04,
OD94,Ram,Fruits & Veggies,Fresh Fruits,,1/31/2016,Central,2257.0,0.33,270.84,Tamil Nadu
,Vince,Snacks,,,,Central,,0.28,391.17,Tamil Nadu
OD101,Adavan,Bakery,Cakes,,,Central,2118.0,0.35,910.74,Tamil Nadu
OD102,,,Soft Drinks,,8/29/2017,Central,1527.0,0.17,671.88,Tamil Nadu
OD103,Vinne,Snacks,Chocolates,Nagercoil,12-01-2017,Central,567.0,,175.77,Tamil Nadu
OD110,Shree,Fruits & Veggies,Fresh Fruits,Coimbatore,10/15/2016,Central,1179.0,0.16,271.17,Tamil Nadu
OD113,Ravi,,Edible Oil & Ghee,,11-03-2017,Central,2155.0,0.3,581.85,Tamil Nadu
OD125,Sudeep,Bakery,,,12/26/2015,Central,975.0,0.26,,Tamil Nadu
