Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
,Veronica,Beverages,Soft Drinks,Krishnagiri,,East,1988.0,,874.72,
OD30,,Oil & Masala,Masalas,Kanyakumari,9/17/2016,East,989.0,0.17,69.23,Tamil Nadu
OD31,Ramesh,Beverages,Soft Drinks,Dharmapuri,9/17/2016,East,,0.24,166.05,Tamil Nadu
,,Snacks,,Vellore,9/17/2016,East,1400.0,,420.0,Tamil Nadu
OD33,Akash,,,Trichy,,East,2163.0,0.26,670.53,Tamil Nadu
OD48,Mathew,Snacks,Noodles,,6/20/2017,East,1488.0,,610.08,
,Ridhesh,Snacks,Noodles,,6/20/2017,East,726.0,,,Tamil Nadu
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,12-11-2017,East,627.0,0.33,181.83,Tamil Nadu
,Muneer,Food Grains,,Salem,6/17/2017,East,2350.0,0.15,,Tamil Nadu
,Komal,"Eggs, Meat & Fish",Fish,Krishnagiri,6/17/2017,East,1179.0,0.34,271.17,
OD58,Veena,Food Grains,Dals & Pulses,Trichy,6/17/2017,East,1624.0,0.35,194.88,Tamil Nadu
OD59,Sharon,"Eggs, Meat & Fish",Mutton,Trichy,6/17/2017,East,1316.0,,,Tamil Nadu
OD60,Shree,Beverages,Health Drinks,Coimbatore,,East,2121.0,0.12,678.72,Tamil Nadu
OD71,Verma,"Eggs, Meat & Fish",Mutton,Kanyakumari,,East,994.0,0.31,357.84,Tamil Nadu
,Sudha,Food Grains,Atta & Flour,,,East,,0.21,723.84,Tamil Nadu
OD111,,Food Grains,Dals & Pulses,,12/25/2018,East,,0.12,505.58,Tamil Nadu
OD114,,Fruits & Veggies,,Krishnagiri,8/25/2015,East,1154.0,0.1,,Tamil Nadu
OD115,Muneer,,Noodles,Salem,8/25/2015,East,2420.0,0.11,,Tamil Nadu
,,,,Bodi,8/25/2015,East,927.0,,157.59,Tamil Nadu
OD121,Alan,Fruits & Veggies,,Tirunelveli,,East,1243.0,0.24,174.02,Tamil Nadu
OD122,Harish,Bakery,Cakes,Krishnagiri,06-12-2017,East,,0.34,,Tamil Nadu
