Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
,Hussain,Food Grains,Atta & Flour,Perambalur,06-12-2017,West,2360.0,0.21,165.2,Tamil Nadu
OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,06-09-2015,West,2305.0,0.26,,Tamil Nadu
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,06-09-2015,West,791.0,0.23,,Tamil Nadu
OD10,,,Cakes,Chennai,06-09-2015,West,,0.27,484.65,
OD11,Ganesh,,Chocolates,Karur,06-09-2015,West,1903.0,0.13,,
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,,West,1277.0,0.25,63.85,Tamil Nadu
OD18,Arutra,Beverages,,Bodi,5/13/2015,West,1617.0,0.19,113.19,Tamil Nadu
,Verma,Beverages,,Kanyakumari,8/27/2015,West,,0.29,159.16,Tamil Nadu
OD21,,Beverages,Health Drinks,Vellore,8/27/2015,West,522.0,0.19,208.8,Tamil Nadu
OD25,Sharon,,Eggs,Ooty,9/25/2016,West,,,495.0,Tamil Nadu
OD27,Muneer,Snacks,,Trichy,1/16/2017,West,541.0,0.12,43.28,Tamil Nadu
OD43,Sharon,,Cookies,Bodi,7/17/2017,West,1017.0,0.25,345.78,Tamil Nadu
OD64,Yusuf,Fruits & Veggies,,Trichy,,West,1741.0,0.31,661.58,Tamil Nadu
OD65,Willams,"Eggs, Meat & Fish",Eggs,Madurai,11/24/2016,West,607.0,0.22,,Tamil Nadu
,Muneer,"Eggs, Meat & Fish",Mutton,Tirunelveli,11/24/2016,West,1824.0,0.25,766.08,Tamil Nadu
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,,West,1160.0,,510.4,Tamil Nadu
OD83,Komal,Oil & Masala,Spices,,10-12-2015,West,990.0,0.26,227.7,Tamil Nadu
,Krithika,,Dals & Pulses,Madurai,9/17/2017,West,1878.0,0.12,450.72,Tamil Nadu
OD96,,,Fish,Virudhunagar,11-06-2018,West,1230.0,,,Tamil Nadu
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Trichy,6/17/2018,West,545.0,0.31,125.35,Tamil Nadu
OD105,Suresh,Food Grains,Dals & Pulses,Karur,,West,2300.0,0.14,1035.0,Tamil Nadu
OD106,Komal,Oil & Masala,Masalas,Kanyakumari,11/13/2016,West,,,78.75,Tamil Nadu
OD118,Arvind,,Organic Vegetables,Viluppuram,03-02-2016,West,,0.11,186.77,Tamil Nadu
OD127,Shah,"Eggs, Meat & Fish",Mutton,,,West,,0.17,,
OD128,Harish,Oil & Masala,Spices,Tirunelveli,11-05-2018,West,1293.0,0.23,336.18,Tamil Nadu
OD129,Sharon,,Rice,Bodi,11-06-2017,West,1458.0,0.29,597.78,Tamil Nadu
OD130,Peer,Food Grains,,Coimbatore,11-06-2017,West,1801.0,0.22,126.07,Tamil Nadu
,Shah,,,,10/13/2017,West,,0.12,315.02,Tamil Nadu
OD135,,Beverages,Health Drinks,Ramanadhapuram,10/13/2017,West,2373.0,0.18,,Tamil Nadu
OD136,Veena,Fruits & Veggies,Organic Fruits,Cumbum,10/13/2017,West,1430.0,0.19,514.8,Tamil Nadu
OD137,Sundar,Oil & Masala,Spices,Viluppuram,10/13/2017,West,,0.3,674.28,
,Jackson,"Eggs, Meat & Fish",Eggs,Theni,10/13/2017,West,867.0,0.14,329.46,
OD139,,Snacks,Noodles,Theni,10/13/2017,West,1101.0,,,
OD140,Hussain,"Eggs, Meat & Fish",Mutton,Ooty,,West,1088.0,0.28,,
OD142,,Oil & Masala,Masalas,Tirunelveli,9/18/2018,West,2483.0,0.14,223.47,Tamil Nadu
OD143,Surya,,Atta & Flour,,,West,1335.0,,293.7,Tamil Nadu
OD144,Sharon,"Eggs, Meat & Fish",,Tenkasi,,West,,0.24,252.45,Tamil Nadu
OD146,Malik,Oil & Masala,,Coimbatore,09-07-2016,West,,0.13,573.87,Tamil Nadu
OD152,Jackson,,Chocolates,Pudukottai,3/13/2017,West,1016.0,0.34,335.28,Tamil Nadu
OD153,Amy,Snacks,Cookies,Namakkal,,West,852.0,,,Tamil Nadu
OD154,Ram,Food Grains,Organic Staples,Ramanadhapuram,5/31/2016,West,1233.0,,234.27,Tamil Nadu
